time,open,high,low,close,ADX
1585620000,6507,6509.5,6443,6444.5,32.712775430843344
1585623600,6444.5,6472.5,6408,6435,30.76051480950431
1585627200,6435,6449.5,6373,6391,28.58181866221838
1585630800,6391,6430.5,6375,6408.5,27.083107994187756
1585634400,6408.5,6463,6384.5,6463,28.14212953733389
1585638000,6463,6470.5,6422,6437,27.54746945977472
1585641600,6437,6497.5,6437,6488,28.559924258899056
1585645200,6488,6489.5,6417,6426.5,26.53044934928565
1585648800,6426.5,6436.5,6399.5,6422.5,25.533251884799537
1585652400,6422.5,6424,6339.5,6386.5,23.372607041171552
1585656000,6386.5,6454,6323.5,6437.5,23.325218311743427
1585659600,6437.5,6477,6392,6411.5,23.622593431082887
1585663200,6411.5,6470,6411.5,6444.5,22.305805695141984
1585666800,6444.5,6494.5,6415.5,6445,22.958714738902405
1585670400,6445,6460.5,6410,6423.5,21.831703887296293
1585674000,6423.5,6451,6397.5,6445.5,20.673862078242955
1585677600,6445.5,6479.5,6440,6451.5,22.756786762388433
1585681200,6451.5,6464.5,6427.5,6454.5,21.864349955439426
1585684800,6454.5,6490,6443,6463,23.51356034355811
1585688400,6463,6474.5,6413,6436,21.939434364786592
1585692000,6436,6439.5,6417,6425.5,21.375625360058603
1585695600,6425.5,6432.5,6388.5,6405,20.27816204438439
1585699200,6405,6417,6243.5,6302.5,16.648420476502018
1585702800,6302.5,6317,6280.5,6282,15.99958598400045
1585706400,6282,6314,6282,6309.5,15.431756357171484
1585710000,6309.5,6372,6305.5,6360.5,20.713946894592958
1585713600,6360.5,6365,6327,6336.5,19.816623769575834
1585717200,6336.5,6338.5,6283.5,6296.5,18.563187305581366
1585720800,6296.5,6310.5,6262,6289.5,17.511332975250905
1585724400,6289.5,6326.5,6280,6323,18.44527997002293
1585728000,6323,6323,6275.5,6301,17.38802140357624
1585731600,6301,6303,6257,6291,16.407222579726092
1585735200,6291,6308,6281,6285.5,16.47990918631673
1585738800,6285.5,6295.5,6265.5,6286,15.827875431161
1585742400,6286,6333,6181.5,6214.5,13.025184488649483
1585746000,6214.5,6229.5,6156.5,6197,11.929074239949175
1585749600,6197,6250,6191.5,6239.5,13.494054040829957
1585753200,6239.5,6248,6213.5,6223.5,12.93770768500957
1585756800,6223.5,6223.5,6145,6178,11.750580203707116
1585760400,6178,6203.5,6160,6188,11.140550530325678
1585764000,6188,6210,6177.5,6178,11.49577680928305
1585767600,6178,6204.5,6160,6201,10.854048159470885
1585771200,6201,6373.5,6189,6330,26.964210668840842
1585774800,6330,6395,6330,6345,27.394370750936126
1585778400,6345,6592.5,6345,6511.5,39.1297670405269
1585782000,6511.5,6687,6492.5,6642,40.63642893298186
1585785600,6642,6739.5,6570,6610.5,39.379479436208584
1585789200,6610.5,6632,6543.5,6562.5,36.69550729961665
1585792800,6562.5,6611.5,6562.5,6590.5,35.262467590271626
1585796400,6590.5,6603.5,6575.5,6601,34.434923603497325
1585800000,6601,6628.5,6584.5,6591.5,35.28992454056305
1585803600,6591.5,6601,6560.5,6600,34.00244463877805
1585807200,6600,6642,6585.5,6632.5,36.006337200106636
1585810800,6632.5,6673,6610.5,6639.5,36.798767750422954
1585814400,6639.5,6659,6601,6644.5,34.77295643023057
1585818000,6644.5,6650,6621.5,6639,33.78863285423005
1585821600,6639,6706.5,6612,6645,36.175441323507314
1585825200,6645,6694.5,6606.5,6676,33.125787512117064
1585828800,6676,6725.5,6629.5,6651.5,33.05062081183366
1585832400,6651.5,6671.5,6620.5,6640.5,31.430201882047285
1585836000,6640.5,6812.5,6637,6775.5,38.95070760327928
1585839600,6775.5,6828,6720.5,6796.5,36.69163676385375
1585843200,6796.5,6911,6782.5,6908.5,39.64844410410421
1585846800,6908.5,7230.5,6908.5,7081.5,52.89750357694491
1585850400,7081.5,7085,6729.5,6787,41.83551148211513
1585854000,6787,6863.5,6723,6796.5,38.41623391616622
1585857600,6796.5,6799,6644,6738,35.016092273848926
1585861200,6738,6843,6711.5,6825.5,34.899678705780424
1585864800,6825.5,6859.5,6781,6842.5,34.26270148995915
1585868400,6842.5,6842.5,6730,6796.5,31.996558049224433
1585872000,6796.5,6809.5,6732.5,6738,30.509187030965293
1585875600,6738,6804,6723.5,6798.5,28.99185078746354
1585879200,6798.5,6825,6774,6809,29.391731223859978
1585882800,6809,6825,6771,6781,28.33151077590557
1585886400,6781,6797,6759.5,6778.5,27.587289248726577
1585890000,6778.5,6786.5,6745,6775,26.749846173818902
1585893600,6775,6819,6763,6795,28.07166339822648
1585897200,6795,6947.5,6787,6934.5,34.06937977576561
1585900800,6934.5,6980.5,6866.5,6924,33.654052641874294
1585904400,6924,6974,6891,6959,31.642294965068167
1585908000,6959,7044,6917.5,7010,33.75929072197827
1585911600,7010,7032,6934.5,7004,31.42846634338875
1585915200,7004,7007,6856.5,6913.5,28.19275131284128
1585918800,6913.5,6937,6807,6839.5,25.728665262691678
1585922400,6839.5,6855.5,6720,6787,23.43002124817788
1585926000,6787,6823,6671.5,6710,21.154337483427216
1585929600,6710,6765,6604.5,6755,19.044032476235643
1585933200,6755,6794,6669.5,6713,19.370893615417355
1585936800,6713,6750,6674.5,6747.5,18.44430531176348
1585940400,6747.5,6785,6735.5,6766,20.1517511956613
1585944000,6766,6810,6677,6692.5,18.41126963795118
1585947600,6692.5,6751.5,6666,6724,17.3725025647326
1585951200,6724,6760.5,6710.5,6760,17.394033917945812
1585954800,6760,6775.5,6718,6727.5,17.74838483481801
1585958400,6727.5,6757.5,6712,6748.5,17.15255160830059
1585962000,6748.5,6801.5,6741.5,6754.5,19.70908593366591
1585965600,6754.5,6755,6676,6676,18.51445099243416
1585969200,6676,6708.5,6665,6695,17.87207320719059
1585972800,6695,6727.5,6685,6715,18.81716620503643
1585976400,6715,6764.5,6708.5,6727.5,21.066412039512542
1585980000,6727.5,6730,6690.5,6726.5,20.33129787362083
